,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,United ,79.68,,,,,,,,,,,,,,,,6,,,,,,,,,,
,Endeavor,79.3,,,,,,,,,,,,,,,,7,,,,,,,,,,
,Southwest,79.2,,,,,,,,,,,,,,,,8,,,,,,,,,,
,Republic,78.57,,,,,,,,,,,,,,,,9,,,,,,,,,,
,American,78.39,,,,,,,,,,,,,,,,10,,,,,,,,,,
,Mesa,77.35,,,,,,,,,,,,,,,,11,,,,,,,,,,
,Allegiant,76.87,,,,,,,,,,,,,,,,12,,,,,,,,,,
,Envoy ,76.82,,,,,,,,,,,,,,,,13,,,,,,,,,,
,ExpressJet ,76.45,,,,,,,,,,,,,,,,14,,,,,,,,,,
,PSA ,75.28,,,,,,,,,,,,,,,,15,,,,,,,,,,
,JetBlue ,70.96,,,,,,,,,,,,,,,,16,,,,,,,,,,
,Frontier ,69.39,,,,,,,,,,,,,,,,17,,,,,,,,,,
,All Airlines,79.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,
,,,,,,,,,,,,,,,,,,* Virgin America began combined reporting with Alaska in April 2018,,,,,,,,,,
,Hawaiian*  ,87.72,,,,,,,,,,,,,,,,,1,,,,,,,,,
,Delta* ,83.46,,,,,,,,,,,,,,,,,2,,,,,,,,,
,Alaska*  ,81.31,,,,,,,,,,,,,,,,,3,,,,,,,,,
,Southwest,80.24,,,,,,,,,,,,,,,,,4,,,,,,,,,
,Spirit,79.52,,,,,,,,,,,,,,,,,5,,,,,,,,,
,Allegiant,78.73,,,,,,,,,,,,,,,,,6,,,,,,,,,
,American*,77.43,,,,,,,,,,,,,,,,,7,,,,,,,,,
,United *,75.18,,,,,,,,,,,,,,,,,8,,,,,,,,,
,JetBlue ,73.5,,,,,,,,,,,,,,,,,9,,,,,,,,,
,Frontier  ,73.14,,,,,,,,,,,,,,,,,10,,,,,,,,,
,All Airlines,78.97,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,
,,,,,,,,,,,,,,,,,,,* Includes branded code-share partners,,,,,,,,,
,Hawaiian,88.34,,,,,,,,,,,,,,,,,,1,,,,,,,,
,Delta,85.18,,,,,,,,,,,,,,,,,,2,,,,,,,,
,Endeavor,80.93,,,,,,,,,,,,,,,,,,3,,,,,,,,
,Alaska,80.3,,,,,,,,,,,,,,,,,,4,,,,,,,,
,Southwest,80.24,,,,,,,,,,,,,,,,,,5,,,,,,,,
,Spirit,79.52,,,,,,,,,,,,,,,,,,6,,,,,,,,
,SkyWest ,79.23,,,,,,,,,,,,,,,,,,7,,,,,,,,
,Allegiant,78.73,,,,,,,,,,,,,,,,,,8,,,,,,,,
,Republic,78.66,,,,,,,,,,,,,,,,,,9,,,,,,,,
,PSA ,78.09,,,,,,,,,,,,,,,,,,10,,,,,,,,
,United ,77.74,,,,,,,,,,,,,,,,,,11,,,,,,,,
,American,77.01,,,,,,,,,,,,,,,,,,12,,,,,,,,
,Mesa,76.31,,,,,,,,,,,,,,,,,,13,,,,,,,,
,Envoy ,76.09,,,,,,,,,,,,,,,,,,14,,,,,,,,
,JetBlue ,73.5,,,,,,,,,,,,,,,,,,15,,,,,,,,
